@relation 'scala-js-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R22,7,6,10,2,8,14,17,11,9,15,12,16,18,1,53'

@attribute at_mentions_description numeric
@attribute num_commits numeric
@attribute description_length numeric
@attribute files_modified numeric
@attribute created_at_day_turn {noite,tarde,madrugada,manha}
@attribute files_added numeric
@attribute other_files numeric
@attribute new_entropy numeric
@attribute files_changed numeric
@attribute files_deleted numeric
@attribute src_churn numeric
@attribute src_files numeric
@attribute test_churn numeric
@attribute entropy_diff numeric
@attribute created_at_week_day {domingo,quinta-Feira,quarta-feira,segunda-feira,terca-feira,sexta-feira,sabado}
@attribute status {0,1}

@data
0,2,9,2,tarde,0,0,19.655523,2,0,28,2,60,0.357669,sexta-feira,1
0,2,8,1,noite,0,0,8.145606,1,0,6,1,0,0.148225,quinta-Feira,1
0,2,37,6,noite,0,0,20.022559,6,0,259,6,148,0.364348,quinta-Feira,1
0,5,4,19,madrugada,0,0,140.802849,19,0,1269,20,72,2.562171,quinta-Feira,1
0,2,6,14,noite,79,79,827.096082,93,0,0,0,0,16.058448,domingo,1
1,2,75,6,tarde,87,2,711.385298,93,0,6451,91,1226,13.811485,quinta-Feira,1
0,1,25,2,noite,0,0,9.060136,2,0,28,2,0,0.175739,quarta-feira,1
0,2,20,21,noite,0,0,199.041532,28,7,786,7,0,3.837814,terca-feira,1
0,2,6,7,tarde,0,0,38.823536,7,0,938,7,0,0.748575,terca-feira,1
0,3,9,5,tarde,0,0,37.714014,5,0,72,5,0,0.727182,terca-feira,1
0,2,6,1,manha,0,0,9.182097,1,0,32,1,0,0.177045,terca-feira,1
0,3,10,3,madrugada,0,0,4.768377,3,0,15,3,0,0.091941,terca-feira,0
0,1,77,1,noite,0,0,4.679189,1,0,15,1,0,0.090222,segunda-feira,1
0,6,8,7,tarde,0,0,105.250516,7,0,183,7,718,2.033112,sabado,1
0,2,11,4,noite,0,0,38.673291,4,0,90,4,185,0.747047,sexta-feira,1
0,2,3,5,tarde,0,42,47.031336,6,1,768,5,0,0.908499,sexta-feira,1
0,1,5,7,tarde,0,1,32.059912,7,0,21,6,0,0.619296,quinta-Feira,1
0,1,16,1,tarde,0,0,4.453766,1,0,15,1,0,0.086033,quinta-Feira,1
0,2,36,2,madrugada,2,0,28.347928,4,0,1168,4,354,0.560784,quinta-Feira,1
0,2,2,4,manha,0,0,36.650232,4,0,264,4,0,0.727116,quarta-feira,1
0,1,4,1,manha,0,0,4.145018,1,0,13,1,0,0.082234,quarta-feira,1
0,1,4,2,manha,0,0,9.030325,2,0,10,2,0,0.179156,quarta-feira,1
0,1,52,1,noite,0,0,4.42052,1,0,36,1,0,0.0877,segunda-feira,1
0,2,8,1,tarde,4,0,14.575893,5,0,163,5,194,0.289176,segunda-feira,1
0,2,8,1,tarde,0,0,8.583555,1,0,8,1,0,0.170292,segunda-feira,1
0,4,8,5,tarde,0,0,27.601464,5,0,316,5,0,0.547595,segunda-feira,1
0,1,11,0,noite,1,0,4.58577,1,0,5,1,0,0.091055,quinta-Feira,1
0,1,9,2,manha,0,0,0,2,0,18,2,40,0,quarta-feira,1
0,1,15,6,madrugada,1,0,32.562379,7,0,120,7,150,0.647135,terca-feira,1
0,8,22,8,noite,0,0,0,8,0,1604,8,48,0,segunda-feira,1
0,2,54,2,madrugada,0,1,9.404533,2,0,3,1,0,0.186903,sexta-feira,1
0,1,22,3,tarde,0,0,13.734489,3,0,103,3,0,0.272963,quarta-feira,1
0,2,17,2,noite,0,0,13.667569,2,0,15,2,14,0.271633,terca-feira,1
0,1,9,3,tarde,0,0,14.275017,3,0,16,3,0,0.283706,terca-feira,1
0,4,69,7,tarde,25,0,102.582204,32,0,2595,32,3490,2.038749,domingo,1
0,1,9,3,noite,0,0,13.957458,3,0,9,3,40,0.277925,quinta-Feira,1
0,3,9,23,tarde,1,0,0,31,7,836,10,0,0,quinta-Feira,0
0,1,29,1,madrugada,0,0,4.790855,1,0,12,1,0,0.095397,quarta-feira,0
0,1,2,3,noite,0,0,14.342738,3,0,66,3,0,0.285583,sabado,1
0,2,88,64,noite,0,0,288.35308,64,0,242,64,248,5.742172,quinta-Feira,1
0,1,56,8,tarde,0,0,37.753405,8,0,90,8,206,0.75237,quinta-Feira,1
0,2,25,19,madrugada,0,0,94.925572,19,0,204,19,355,1.890371,quinta-Feira,1
0,1,6,7,tarde,0,0,33.462616,7,0,511,7,0,0.666364,quarta-feira,1
1,1,152,9,tarde,1,0,45.623869,10,0,200,10,243,0.909222,quarta-feira,1
0,3,41,11,noite,0,0,41.056924,11,0,89,7,56,0.818204,terca-feira,1
0,1,73,6,madrugada,0,0,28.079665,6,0,65,6,20,0.559589,terca-feira,1
0,2,6,23,tarde,0,0,0,23,0,352,23,429,0,segunda-feira,1
0,1,7,1,manha,2,1,14.702111,3,0,78,3,0,0.292753,segunda-feira,1
0,1,30,1,noite,0,0,4.477307,1,0,2,1,0,0.089693,domingo,1
