@relation 'vagrant-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R36,7,6,11,8,10,12,14,2,9,15,1,17,18,20,53'

@attribute requester {pearkes,kenorb,larsch,jtopper,altexdim,mwrock,amontalban,tpenguin,kamigerami,geo4orce,donaldguy,radarhere,interdev,evisboy,jzohrab,Eric-Guo,budhrg,oddtazz,snagy22000,sethvargo,rightsaidjames,krutcha,taurus-forever,erSitzt,mbrodala,pra85,evaryont,prateepb,kkremitzki,gavioto,williamonymous,tompscanlan,wjsager,mmickan,theengineear,daniel-sc,jlduran,cweagans,anatol,adamenger,velocity303,kamazee,sneal,gimler,gildegoma,kylegibson,michaldo,aqnouch,kriuz,petems,OmarIthawi,sschuberth,char16t,mitchellh,ianvanness,KaffeJunky123,metropolislights,geerlingguy,josephfrazier,kikitux,tomkins,captainill,tonyarkles,michaa76,rickard-von-essen,mkuzmin,chenz,reedloden,jharshman,rubenv,romulodl,timuralp,legal90,handlers,Panya,iamseth,ReadmeCritic,yoshiyaka,thachmai,signed8bit,oliviermeurice,fedorovdima,dmacvicar,amirbilu,Ingramz,invernizzi,dvorak,nikelmwann,aneeshusa,rogerhu,karthequian,dexterc,matthewcodes,gawbul,glamouracademy,gpkfr,jsyeo,htesligte,joseph-onsip,markus-perl,timotei,grafjo,javimuu,PatOShea,jcockhren,caleblloyd,electrofelix,knixeur,ctammes,iankronquist,janek-warchol,Fudoshiki,trivoallan,blueyed,bitprocessor,senglin,tbriggs-curse,justinlynn,tomfanning,jperville,loren-osborn,samphippen,philipwigg,krig,dharmab,myrjola,mirthy,phinze,jgoldschrafe,jrob,modernlegend,yanosz,konomae,dustymabe,ArloL,gajdaw,marc-ta,hubub,tknerr,glensc,cbednarski,issyl0,lonniev,JustinCampbell,pwnall,philoserf,tjanez,StefanScherer,cazzerson,mtwentyman,evverx,vbaskoff,driskell,Johntron,caseylang,benh57,bdwyertech,darkn3rd,pogliamarci,ievgenp,Mattias-,denisbr,jkburges,bheuvel,cristovaov,progamesigner,aidanhs,wkral,kaorimatz,densuke,adrianguenter,msabramo,dcbw,strzibny,oxygen0211,cisco87,jjasghar,ivuk,miguel250,peckpeck,alh84001,jeremyplichta,iNecas,Ryanbarnes420,chrisbaldauf,berendt,linyows,jim-minter,leocassarani,bergman,deviantintegral,c33s,mrahtz,mahnkong,agdula,taliesins,Stanzilla,dmangot,paul-krohn,brooksbrown,otagi,jfbibeau,frapposelli,purpleidea,bluehaoran,michaeldhopkins,notpeter,quirkey,stoned,thenewwazoo,randonn,jackywu,vvchik,ssugar,marsam,obnoxxx,MiLk,johnsonj,eidge,francisoud,follower,duro,aogail,Turbo87,Jamezz,valchonedelchev,timoguin,ibizaman,marxarelli,laetificat,trensen,edward010,davidsantoso,erwinvaneyk,hashar,choffee,agreenbhm,YpNo,mafrosis,tioteath,kev009,timsutton,frankbb,mixpix3ls,SchnWalter,channui,Scythril,terceiro,Keeguon,rgardler,aknrdureegaesr,blairham,radeksimko,alfonsodev,dragon788,simonjbeaumont,simonvetter,voxik,BlakeMesdag,clayallsopp,tomassrnka,thierrymarianne,clintoncwolfe,clinstid,hdeheer,windowsrefund,bvalerius,peterood,dcarley,fgrehm,johnclaus,AntonioMeireles,wkolean,simon3z,MobileWiseguyTX,mdirik,ermaker,tai-ga,lpabon,HerrBertling,databus23,willdurand,zmingee,maxlinc,tjouan,c0dxtr3m1st,frodenas,heydonovan,imjacobclark,joelhandwell,kalifg,tboettch,riquito,jquast,athak,oeuftete,svenXY,obfusk,michaeljb,malonecm,whitel,jcollins1991,aidanmorgan,maoueh,derdanne,julienvey,stephenwithav,jch,llamallama,ccutrer,philwrenn,KFishner,robkinyon,aspiers,Tarrant,cllns,konstantint,uchagani,awithersdd,jramnani,orenmazor,dimbleby,tmatilai,jschwarze,dlundgren,crypt1d,styro,danielsiwiec,davidjb,dannykansas,dup2,rogeriopradoj,ilucker,ebelew,mrwhelan,plu,matgnt,Xylakant,kbohnenberger,lunetics,chriskuehl,sprin,donckers,tboerger,mpoeter,jugglinmike,rtkrruvinskiy,abele,Gurpartap,jure,andytson,npvisual,igas,keithchambers,juliandunn,cdenneen,omehegan,simoleone,dmcrystax,gpoulin2,rclanan,sax,lsimons,jdmulloy,BackSlasher,s7726,sumkincpp,andrewmains12,ewigkeit1204,nmische,parisholley,justanshulsharma,acidum,gildub,fpletz,danielparks,synth3tk,b-dean,stvleung,emyl,stevemcc,vStone,EvanPurkhiser,ffrank,bbaugher,schauer,vassilevsky,aaadschutz,techtonik,amracks,keiths-osc,skeggse,sfx-public,Maks3w,BlackIkeEagle,dhoppe,cielavenir,akzhan,salimane,zr40,simono,bewiwi,KLVTZ,brettporter,calvinhp,ifnull,dougm,pdericson,PerilousApricot,az7arul,xstevecs,catsby,marnovdm,rockymadden,zigg,stonith,kalmanh,Freyskeyd,gpurkins,snowch,hippich,shtouff,cstrahan,targetx007,RabidGuppy,ramakrishnan,YungSang,agilebarbecue,goshakkk,szuliq,assens,takekazuomi,tupy,p0deje,cammoraton,felixrabe,also,sciurus,chr4,lamont-granquist,eykd,shadowfax-chc,JuanitoFatas,wtanaka,bclarkindy,benesch,javornikolov,bmcorser,ronnix,rasschaert,jingchan,jjshoe,mjfroehlich,brenttheisen,Mulkave,zeroem,bmorg,b-long,cuberri,zzamboni,timcooper,Arxisos,joanbarros,ndemonner,briandailey,odigity,davidkuridza,oscarrenalias,valioDOTch,philippfranke,pmenglund,miurahr,Coffee-fan,toooooooby,jaikdean,skoblenick,mattoxbeckman,ecoleman,novalagung,barrkel,skinofstars,mivok,justincwatt,pbitty,alimony,andyclarke,uwej711,cournape,rissem,jyggen,khiro,ex-nerd,freshteapot,mkremer,xraj,mway,schlamar,Fuhrmann,patrickheeney,bbinet,Krazylee,stormbrew,adamlazz,mafigit,johnbellone,ramondelafuente,mattes,johan-open-future,endemics,gldnspud,lheinlen-os,ajw0100,retr0h,kvilhaugsvik,eugeneware,shanegibbs,ryanuber,dstevenson,earnubs,elyast,gnawhleinad,mhahn,rmccue,danielbachhuber,maspwr,wouteroostervld,nickborromeo,frosario,chrischillibean,mpalmer,myoung34,seginoviax,morrizon,timgus,thanosa75,gustavobgama,masteinhauser,miketheman,glebm,smoyer,charlax,ryansb,joestump,graingert,lunohodov,sferik,jameydeorio,darthmuffins,MarcMeszaros,marcellodesales,picsolvebryan,tobiasbaehr,Ninir,Ninjamoose,oalders,Grunny,ampedandwired,martinezdelariva,acharlieh,adrianlzt,drpebcak,tnaoto,arthurnn,bbonamin,lndbrg,makern,scalp42,ShonM,mwarkentin,jpfuentes2,teaforthecat,mattalexx,till,bennlich,instilled,alangarf,ticosax,nikhilv,Sgoettschkes,athoune,elliotsegler,markpeek,millerdev,isaoshimizu,rconradharris,AJCStriker,phs,jaugustin,ziuchkovski,hatsuseno,andyfowler,canausa,tduffield,jeremyfelt,clintjhill,jackdesert,onejli,rimckenn,tmacedo,Schpidi,SpringMT,txchen,hikch,borgstrom,tehmaspc,catharsis,Tomdarkness,viq,sgronblo,3flex,virtuald,gwaldo,tuminoid,mpioli,copperlight,jeffasinger,jabclab,eggsby,ianheggie,jeremyquinton,daveloyall,grenade,czi,fcharlier,mrkafk,Caustic,PeteMichaud,bt5e,aleno,gregwork,mark-rushakoff,mikerowehl,tpltnt,Raman148,deltaroe,atomic-penguin,cmthornton,grepory,BreiteSeite,ndemoor,herdani,psi,beporter,gildas,erichelgeson,miguno,tsahara-iij,mlex,janth,shutej,Boohbah,ches,rajivr,ppp0,sevos,tejaycar,mcourtois,flozano,talexb,gwenci,michaelglass,StephenKing,erran,bmabey,tsugliani,tehranian,zvirusz,mpapis,znz,korya,Sauraus,nickanderson,saturnflyer,marcparadise,b2jrock,mightybs,commandtab,bdon,patcon,sthulb,koolhead17,benjixx,voronoipotato,mfournier,trlinkin,ngiger,scottmuc,jprosevear,tgarvey,kburwieck,davegudge,hecko,Aigeruth,dsesh,hwartig,ekalinin,wbates,tunix,econchick,jheise,drogerschariot,frankshearar,Loa,tawan,toretore,pronix,aszeszo,akalyaev,igorbonadio,cliles,Govinda-Fichtner,gilesbowkett,pmorton,johntdyer,gumayunov,hectcastro,nickrw,NeilW,raadad,cassianoleal,davidbirdsong,geetarista,onefrankguy,tobli,chorankates-sfdc,smdahlen,benprew,schisamo,jimmycuadra,jefflab,wormzer,wenlock,neil477,davedevelopment,jedvardsson,kentaro,janschumann,hmalphettes,rubbish,yujiorama,uggedal,nickchappell,martoe,lucaspiller,curzonj,masm,whiteley,aaa572,jblaine,grosser,frsantos,johnbarney,erikh,phunehehe,erictip,ereslibre,hh,ithinkihaveacat,samet,lolindrath,pastafari,dmajkic,magec,kainz,llonchj,yarikoptic,nicobrevin,eladroz,kbrock,rizzatti,ozanturksever,nwjsmith,jwhitley,hdorio,priestjim,jbraeuer,paulmars,chilicat,mattandersen,jasim,ryfow,morpheu,xiwenc,pbrisbin,gmsharky,jeremyd,lorello,obscurerichard,carlossg,paulv,petere,sbfaulkner,michaelthies,sl4m,YannRobert,gabetax,piavlo,smerrill,rrehbeindoi,julianhille,hugowetterberg,gaffo,Samuel29,danmidwood,bcwaldon,jtimberman,jmazzi,spk,benburkert,chipchilders,scoates,vaimo-wilko,mandarbarve,loe,conormcd,dansimau,5long,bobmaerten,marklap,jamtur01,jssjr,zsiddique,nathankleyn,muffs,videlalvaro,RLasinski,mattrobenolt,monvillalon,mxtthias,leth,oker1,kindjal,npeters,webcoyote,hollow,jmahowald,ryanlecompte,squarelover,jhf,LarsFronius,dbroeglin,nesQuick,rafmagana,bitprophet,calavera,theju,stevehodgkiss,andyl,skarab,dcolish,lorin,hvolkmer,Oakie3CR,rvermeulen,rtyler,andrewchalfant,withnale,mbbx6spp,wayneeseguin,jbochi,Achimh3011,dgholz,ndwns,ergonlogic,jjhuff,jsoriano,bobveznat,semarj,mephaust,straphka,jkutner,withnail,sroegner,mamciek,rtgibbons,jarmo,sigi,henare,sirl1on,zev,bgreenlee,richardiux,halcyonCorsair,LeftyBC,dgtized,hedgehog,paulsmith,cwarden,avit,russss,jbrown,lmars,alexey-chebotar,xuru,eriksencosta,mdellanoce,dizzyd,brycethornton,ticean,wjlroe,kevin1024,dctrwatson,ody,sjl,darrin-wortlehock,samerbuna,ambethia,mirell,josephholsten,tnm,brianloveswords,pelletier,xdissent,dax,simonsd,halcyon,gabemc,jeffrafter,pauln415,theaboutbox,RichardBronosky,svenfuchs,mlinderm,reset,nstielau,philips,ryansch,alanshields,mhorbul,stopdropandrew,bodepd,jwinter,wfarr,th34ut0m4t0r,rcreasey,patcoll,wsc,tonyla,TimDumol,morepanda,gammons,ramonvanalteren,jeffmccune,tail,aglarond,thbar,vishvananda,mdub,underlog,kvs,michaelbearne,mtrudel,evtuhovich,bpo,masterzen,tolbrino,lstoll,bnmrrs,scompt,dreamcat4,ctrabold,drnic,adamv,ankopainting,bixu}
@attribute num_commits numeric
@attribute description_length numeric
@attribute files_changed numeric
@attribute files_added numeric
@attribute files_modified numeric
@attribute src_files numeric
@attribute other_files numeric
@attribute created_at_day_turn {noite,madrugada,tarde,manha}
@attribute files_deleted numeric
@attribute src_churn numeric
@attribute created_at_week_day {terca-feira,domingo,sabado,quarta-feira,sexta-feira,quinta-Feira,segunda-feira}
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute commits_to_hottest_file numeric
@attribute status {0,1}

@data
evverx,1,22,1,0,1,1,0,manha,0,2,terca-feira,4.258935,0.07604,0,1
simon3z,1,10,3,0,3,3,0,madrugada,0,8,terca-feira,13.500204,0.241034,13,0
simon3z,1,8,1,0,1,1,0,madrugada,0,1,terca-feira,4.609607,0.082301,12,0
MobileWiseguyTX,2,4,1,0,1,1,0,noite,0,14,domingo,4.747799,0.084768,3,1
sethvargo,1,7,3,0,3,2,1,noite,0,14,domingo,12.336807,0.220264,30,1
evverx,1,3,1,0,1,1,0,manha,0,2,quinta-Feira,4.731737,0.084482,6,1
evverx,1,4,1,0,1,1,0,madrugada,0,2,quarta-feira,4.54647,0.081174,7,1
mdirik,1,53,1,0,1,1,0,tarde,0,4,terca-feira,4.590905,0.081968,0,1
dcarley,1,24,1,0,1,1,0,madrugada,0,2,terca-feira,4.522336,0.080743,0,1
ermaker,1,77,1,0,1,1,0,manha,0,5,segunda-feira,4.222323,0.075387,2,0
tai-ga,1,19,1,0,1,1,0,manha,0,2,domingo,4.263088,0.076115,0,1
lpabon,3,54,2,0,2,2,0,manha,0,5,domingo,4.61442,0.082387,9,1
legal90,1,56,1,0,1,1,0,madrugada,0,2,domingo,4.356968,0.077791,0,1
HerrBertling,4,53,12,0,12,11,0,noite,0,45,sexta-feira,56.761577,1.013545,4,1
databus23,1,7,1,0,1,1,0,tarde,0,18,sexta-feira,4.800537,0.085719,3,1
willdurand,1,81,1,0,1,1,0,tarde,0,2,sexta-feira,5.001986,0.089316,5,0
zmingee,1,49,1,0,1,1,0,noite,0,14,quinta-Feira,4.747799,0.091127,2,1
maxlinc,6,278,3,0,3,3,0,madrugada,0,44,quinta-Feira,52.544436,0.938245,6,1
tjouan,1,12,1,0,1,1,0,noite,0,2,quarta-feira,4.416924,0.07887,0,1
sethvargo,1,5,5,0,5,5,0,manha,0,78,quarta-feira,22.962517,0.410033,3,1
tknerr,4,172,8,0,8,8,0,madrugada,0,30,quarta-feira,34.389659,0.614083,7,1
sneal,2,43,2,0,2,2,0,noite,0,33,terca-feira,9.04488,0.16151,0,1
sethvargo,1,8,1,0,1,1,0,noite,0,2,terca-feira,4.740333,0.084646,2,1
maxlinc,9,179,8,3,5,6,1,noite,0,408,segunda-feira,46.43894,0.829247,0,0
iNecas,1,5,2,1,1,1,2,tarde,0,16,segunda-feira,10.576869,0.189047,0,1
sethvargo,3,118,4,0,4,4,0,manha,0,12,segunda-feira,17.898901,0.319922,5,1
sethvargo,2,6,1,0,1,0,0,manha,0,0,segunda-feira,9.439657,0.168723,2,1
sethvargo,1,24,1,0,1,1,0,manha,0,2,segunda-feira,3.741563,0.066875,0,1
c0dxtr3m1st,1,12,1,0,1,1,0,madrugada,0,16,domingo,4.365391,0.078031,1,1
frodenas,1,7,1,0,1,1,0,manha,0,2,sabado,4.569472,0.081679,2,1
heydonovan,1,24,1,0,1,1,0,noite,0,2,sexta-feira,4.454619,0.079706,2,1
imjacobclark,2,46,1,0,1,0,0,tarde,0,0,sexta-feira,10.047934,0.179788,0,1
joelhandwell,1,18,1,0,1,0,0,madrugada,0,0,sexta-feira,4.893724,0.087558,12,1
sethvargo,3,4,2,0,2,0,0,madrugada,0,0,sexta-feira,14.348893,0.256724,5,1
maxlinc,27,200,11,0,11,10,1,noite,0,511,quinta-Feira,229.220913,4.101125,12,1
imjacobclark,1,64,1,0,1,1,0,noite,0,2,quinta-Feira,4.317067,0.07724,0,1
sethvargo,1,9,1,0,1,1,0,tarde,0,5,quinta-Feira,4.320477,0.077301,4,1
sethvargo,2,6,4,0,4,4,0,madrugada,0,18,quinta-Feira,17.897614,0.32022,7,1
kalifg,1,52,1,0,1,1,0,noite,0,2,quarta-feira,4.449138,0.079604,3,1
petems,1,24,1,0,1,1,0,noite,0,2,quarta-feira,4.738886,0.084788,3,0
kev009,1,27,1,0,1,1,0,tarde,0,2,terca-feira,4.620605,0.08621,6,1
tboettch,1,13,1,0,1,0,0,noite,0,0,segunda-feira,4.648491,0.08673,2,0
gildegoma,1,72,2,0,2,2,0,tarde,0,19,domingo,9.721581,0.181382,69,1
gildegoma,2,33,3,0,3,3,0,tarde,0,29,domingo,8.854503,0.165205,0,1
riquito,1,21,1,0,1,1,0,noite,0,2,quinta-Feira,4.667562,0.087086,3,1
jquast,1,53,1,0,1,1,0,manha,0,6,quinta-Feira,4.210963,0.078567,4,1
athak,1,353,2,0,2,2,0,noite,0,12,segunda-feira,9.134593,0.170431,0,1
oeuftete,1,7,5,0,5,4,1,madrugada,0,20,quarta-feira,21.935827,0.409273,19,1
sethvargo,1,19,1,0,1,1,0,noite,0,7,terca-feira,4.939289,0.092156,3,1
gildegoma,4,118,4,0,4,4,0,tarde,0,83,domingo,57.96362,1.082442,70,1
phinze,3,99,12,1,11,10,1,noite,0,370,sabado,0,0,0,1
dharmab,1,19,1,0,1,1,0,madrugada,0,3,sabado,4.569417,0.085332,3,1
svenXY,1,148,2,0,2,2,0,noite,0,10,quinta-Feira,8.258119,0.154216,0,0
obfusk,2,16,1,0,1,1,0,manha,0,31,quarta-feira,9.66546,0.180498,4,0
obfusk,1,12,1,0,1,1,0,manha,0,1,quarta-feira,4.781159,0.089286,4,0
michaeljb,1,49,1,0,1,1,0,madrugada,0,7,quarta-feira,4.939289,0.092239,4,0
malonecm,7,47,4,0,4,3,1,noite,0,43,terca-feira,18.61307,0.34759,90,1
obfusk,2,48,1,0,1,1,0,madrugada,0,9,segunda-feira,4.851285,0.090596,1,1
whitel,5,15,7,2,5,5,0,noite,0,76,quarta-feira,34.121196,0.637199,2,1
MiLk,1,109,1,0,1,0,1,manha,0,0,terca-feira,4.095233,0.076477,23,1
jcollins1991,1,9,1,0,1,1,0,manha,0,2,sabado,4.432564,0.082776,0,1
aidanmorgan,4,30,1,0,1,1,0,madrugada,0,14,sabado,4.340005,0.081047,0,1
gajdaw,1,67,1,0,1,1,0,manha,0,12,sexta-feira,4.538412,0.084753,0,1
maoueh,1,145,1,0,1,1,0,manha,0,11,sexta-feira,4.625904,0.086386,7,0
derdanne,1,29,1,0,1,1,0,noite,0,2,terca-feira,4.325485,0.080776,0,1
sethvargo,1,11,1,0,1,1,0,madrugada,0,12,terca-feira,4.46555,0.083465,13,0
sethvargo,1,9,3,1,2,3,0,madrugada,0,46,domingo,13.038381,0.243698,4,1
mwrock,1,47,4,0,4,4,0,noite,0,22,quinta-Feira,17.178801,0.323194,11,1
julienvey,2,4,1,0,1,1,0,tarde,0,4,quinta-Feira,9.199942,0.173084,0,1
kikitux,2,51,1,0,1,1,0,madrugada,0,19,quinta-Feira,9.258915,0.174194,0,1
sethvargo,1,84,1,0,1,0,0,noite,0,0,terca-feira,4.845682,0.091165,4,1
voxik,4,42,2,0,2,2,0,tarde,0,3,terca-feira,4.800131,0.090308,1,1
voxik,1,54,1,0,1,1,0,tarde,0,1,segunda-feira,4.596685,0.08648,4,0
stephenwithav,2,20,3,0,3,3,0,madrugada,0,4,domingo,11.549715,0.217292,3,0
jch,1,101,2,0,2,2,0,noite,0,6,sabado,8.638259,0.162517,10,0
sethvargo,13,7,23,8,15,20,2,madrugada,0,1276,sabado,209.212354,3.936048,26,1
llamallama,1,31,1,0,1,1,0,noite,0,2,sexta-feira,3.698658,0.069585,2,1
ccutrer,1,34,3,0,3,3,0,noite,0,39,sexta-feira,13.654675,0.256894,3,0
philwrenn,6,8,1,0,1,1,0,noite,0,12,sexta-feira,4.188861,0.078808,2,0
sethvargo,3,6,8,4,4,6,1,noite,0,270,quinta-Feira,36.062766,0.680787,24,1
KFishner,1,6,5,0,5,3,0,noite,0,18,quinta-Feira,23.082437,0.438315,4,1
sethvargo,14,9,19,7,12,14,1,noite,0,254,quinta-Feira,105.334036,2.000199,22,0
robkinyon,1,190,3,0,3,2,1,manha,0,16,quarta-feira,13.707794,0.260299,3,1
databus23,2,36,1,0,1,1,0,noite,0,16,segunda-feira,4.026507,0.07646,0,1
aspiers,1,25,1,0,1,1,0,tarde,0,2,sabado,4.738886,0.089987,3,1
aspiers,2,5,1,0,1,1,0,tarde,0,8,sabado,9.130433,0.173379,0,1
aspiers,1,55,3,0,3,2,1,tarde,0,8,sabado,12.227363,0.232187,22,0
Tarrant,3,36,4,0,2,3,1,noite,2,38,sexta-feira,13.173971,0.249757,1,1
mitchellh,5,47,15,6,9,14,1,noite,0,250,sexta-feira,67.921517,1.297646,20,1
voxik,1,19,1,0,1,0,1,tarde,0,0,sexta-feira,4.771828,0.091176,2,1
mitchellh,4,113,6,0,6,6,0,madrugada,0,113,sexta-feira,41.649594,0.795818,8,1
cllns,1,13,1,0,1,1,0,noite,0,2,quinta-Feira,4.241576,0.081046,0,1
konstantint,1,73,1,0,1,1,0,tarde,0,9,quinta-Feira,4.076019,0.078124,10,1
legal90,1,16,1,0,1,1,0,manha,0,7,quinta-Feira,4.216257,0.080812,5,1
uchagani,2,17,1,0,1,1,0,manha,0,48,quinta-Feira,4.66551,0.089423,0,1
awithersdd,1,14,2,0,2,2,0,manha,0,4,quinta-Feira,8.494666,0.162942,5,1
sethvargo,2,5,8,5,3,7,1,madrugada,0,123,quinta-Feira,35.038352,0.672613,13,0
KFishner,1,5,1,0,1,1,0,noite,0,2,quarta-feira,4.892721,0.093923,2,1
sethvargo,2,65,3,0,3,3,0,tarde,0,18,quarta-feira,4.819854,0.092602,0,1
sethvargo,1,9,2,0,2,0,0,tarde,0,0,quarta-feira,9.52807,0.183059,0,1
mwrock,2,152,2,0,2,2,0,manha,0,25,terca-feira,8.626877,0.165732,5,1
jramnani,1,57,5,0,5,5,0,noite,0,68,segunda-feira,22.478354,0.431834,1,1
gildegoma,2,91,6,0,6,6,0,noite,0,39,segunda-feira,35.69341,0.68571,9,1
sethvargo,5,1,5,0,5,5,0,noite,0,70,sexta-feira,23.19549,0.445613,0,1
sethvargo,6,39,5,0,5,5,0,noite,0,74,sexta-feira,23.19549,0.445613,0,1
orenmazor,1,30,1,0,1,1,0,tarde,0,11,quinta-Feira,4.597691,0.088327,0,1
purpleidea,1,22,1,0,1,1,0,noite,0,2,quarta-feira,3.95035,0.075891,0,0
dimbleby,1,50,1,0,1,1,0,noite,0,10,terca-feira,4.011927,0.077074,0,1
julienvey,1,111,1,0,1,1,0,tarde,0,4,terca-feira,4.540962,0.087237,3,1
janek-warchol,1,30,1,0,1,1,0,tarde,0,2,segunda-feira,4.380326,0.084151,0,1
tmatilai,1,23,1,0,1,0,1,noite,0,0,sabado,4.411229,0.084743,0,1
jschwarze,3,55,1,0,1,1,0,noite,0,13,sexta-feira,4.646184,0.089257,0,1
dlundgren,1,25,1,0,1,1,0,noite,0,29,sexta-feira,4.277627,0.082177,0,1
sethvargo,1,10,1,0,1,1,0,tarde,0,2,sexta-feira,4.706018,0.090406,2,0
crypt1d,2,79,3,0,3,3,0,tarde,0,24,sexta-feira,13.002236,0.249783,1,1
styro,1,41,1,0,1,1,0,tarde,0,4,sexta-feira,4.333211,0.083244,2,1
danielsiwiec,1,18,1,0,1,1,0,madrugada,0,4,quinta-Feira,3.556307,0.06832,1,0
berendt,1,49,5,0,5,3,0,noite,0,14,quarta-feira,25.993268,0.499352,1,1
davidjb,1,79,1,0,1,1,0,manha,0,13,quarta-feira,4.780684,0.091841,1,1
dannykansas,1,17,1,0,1,1,0,tarde,0,2,terca-feira,4.33762,0.083392,0,0
miguel250,4,114,1,0,1,1,0,noite,0,8,segunda-feira,12.963187,0.249222,0,1
sethvargo,2,21,4,0,4,4,0,madrugada,0,465,sabado,18.091979,0.347825,0,0
mkuzmin,1,39,1,0,1,1,0,noite,0,1,segunda-feira,4.258361,0.081869,0,1
jperville,1,379,2,0,2,2,0,noite,0,4,segunda-feira,8.426924,0.162011,6,1
dup2,1,40,1,0,1,1,0,tarde,0,2,sexta-feira,4.552406,0.087522,0,1
rogeriopradoj,1,7,1,0,1,0,0,madrugada,0,0,sexta-feira,4.650502,0.089408,0,0
ilucker,1,15,2,0,2,2,0,madrugada,0,5,quinta-Feira,8.688547,0.167041,0,0
ebelew,1,31,4,0,4,2,2,noite,0,19,terca-feira,17.70241,0.340335,11,1
mrwhelan,1,2,1,0,1,1,0,noite,0,4,terca-feira,4.553203,0.087537,0,1
plu,1,31,1,0,1,1,0,noite,0,2,domingo,4.329802,0.083242,0,1
matgnt,1,29,1,0,1,1,0,tarde,0,1,domingo,3.911253,0.075195,0,1
Xylakant,1,48,1,0,1,1,0,noite,0,31,sabado,4.093997,0.078709,3,1
kbohnenberger,1,12,1,0,1,1,0,noite,0,2,sexta-feira,4.360659,0.083835,5,1
lunetics,1,2,1,0,1,1,0,noite,0,6,quinta-Feira,4.533203,0.087153,0,1
chriskuehl,1,6,1,0,1,1,0,madrugada,0,2,quarta-feira,4.380326,0.084213,0,1
aspiers,1,3,1,0,1,1,0,noite,0,2,terca-feira,4.38379,0.08428,0,1
sprin,1,36,1,0,1,1,0,madrugada,0,7,sabado,4.130535,0.079483,3,1
donckers,2,70,1,0,1,1,0,madrugada,0,2,sexta-feira,4.292646,0.082603,11,0
tboerger,7,68,14,2,12,14,0,manha,0,135,quinta-Feira,61.740987,1.188075,2,1
mpoeter,8,155,12,2,10,10,1,manha,0,295,quarta-feira,34.879315,0.671179,12,1
jugglinmike,1,139,2,0,2,2,0,noite,0,4,segunda-feira,8.989429,0.172983,0,0
rtkrruvinskiy,1,183,8,1,7,8,0,manha,0,123,segunda-feira,34.987399,0.673259,2,1
abele,1,33,1,0,1,1,0,noite,0,2,domingo,4.492782,0.086454,2,1
Gurpartap,1,138,1,1,0,1,0,noite,0,14,sabado,4.429531,0.085237,0,1
c0dxtr3m1st,2,45,3,0,3,1,0,manha,0,54,sabado,13.520108,0.260166,0,1
jure,1,163,2,0,2,1,1,madrugada,0,2,sexta-feira,8.289567,0.159516,12,0
andytson,1,13,1,0,1,1,0,madrugada,0,2,sexta-feira,4.149327,0.079846,1,1
andytson,1,193,1,0,1,1,0,noite,0,2,quinta-Feira,4.589026,0.088308,3,1
npvisual,1,27,1,0,1,1,0,madrugada,0,2,quinta-Feira,4.944318,0.095145,9,1
andytson,1,11,1,0,1,1,0,noite,0,4,quarta-feira,4.15179,0.079894,1,1
igas,1,34,1,0,1,1,0,tarde,0,6,quarta-feira,4.527966,0.087133,0,1
keithchambers,1,5,1,0,1,1,0,manha,0,2,quarta-feira,4.18666,0.080565,1,1
juliandunn,1,19,1,0,1,1,0,manha,0,2,quarta-feira,4.18666,0.080565,1,0
cdenneen,2,4,2,0,2,2,0,madrugada,0,4,quarta-feira,4.18666,0.080565,1,0
omehegan,1,58,1,0,1,1,0,madrugada,0,2,quarta-feira,4.609605,0.088704,0,1
simoleone,1,34,1,0,1,1,0,noite,0,2,terca-feira,4.169329,0.080231,0,1
purpleidea,1,42,1,0,1,1,0,noite,0,1,terca-feira,4.178954,0.080408,2,1
dmcrystax,1,33,6,0,6,6,0,tarde,0,58,segunda-feira,26.133602,0.502839,5,1
gpoulin2,1,20,1,0,1,1,0,manha,0,4,domingo,4.024856,0.077443,0,1
rclanan,1,9,1,0,1,1,0,manha,0,9,sabado,4.418944,0.085089,3,1
