@relation 'pulp-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R4,7,10,6,12,2,11,15,17,18,16,5,8,9,14,53'

@attribute forward_links {false,true}
@attribute num_commits numeric
@attribute files_modified numeric
@attribute description_length numeric
@attribute src_files numeric
@attribute created_at_day_turn {noite,madrugada,tarde,manha}
@attribute files_changed numeric
@attribute src_churn numeric
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute test_churn numeric
@attribute intra_branch {false,true}
@attribute files_added numeric
@attribute files_deleted numeric
@attribute other_files numeric
@attribute status {0,1}

@data
false,1,2,47,2,madrugada,2,5,8.70498,0.143117,25,false,0,0,0,1
false,1,2,5,1,madrugada,2,2,9.45486,0.155444,0,false,0,0,1,1
false,2,12,29,11,madrugada,12,352,112.103645,1.843058,476,false,0,0,0,1
false,2,4,47,4,madrugada,4,20,31.093785,0.510834,43,false,0,0,0,1
false,1,1,55,1,noite,1,0,4.263067,0.07009,2,false,0,0,0,1
false,2,1,7,0,noite,1,0,4.789328,0.078743,0,false,0,0,1,1
false,1,1,6,0,noite,1,0,4.209777,0.069214,0,false,0,0,1,1
false,1,3,7,3,madrugada,3,5,12.522591,0.205888,20,false,0,0,0,1
false,2,17,30,15,noite,17,1104,143.132303,2.353282,627,false,0,0,2,1
false,1,2,41,3,madrugada,3,48,13.710568,0.22542,70,false,1,0,0,0
false,2,2,14,2,noite,2,16,13.275032,0.218259,6,false,0,0,0,1
false,1,1,10,0,noite,1,0,4.948198,0.081355,0,false,0,0,1,1
false,1,2,7,2,madrugada,2,2,8.710727,0.143216,6,false,0,0,0,1
false,1,3,8,3,madrugada,3,3,13.186862,0.217103,4,false,0,0,0,1
false,2,3,24,3,madrugada,3,16,27.443733,0.451822,17,false,0,0,0,1
false,1,10,41,6,madrugada,10,38,44.825994,0.737963,16,false,0,0,4,1
false,1,3,9,3,noite,3,9,12.353693,0.203377,0,false,0,0,0,1
false,1,1,9,0,noite,1,0,4.736634,0.079915,0,false,0,0,1,1
false,1,1,7,1,noite,1,2,4.149234,0.070143,0,false,0,0,0,1
false,2,0,18,1,noite,1,312,4.530637,0.076493,0,false,1,0,0,1
false,3,3,26,0,madrugada,5,0,18.148372,0.306798,0,false,1,1,5,1
false,1,1,8,0,madrugada,3,0,4.914241,0.082967,0,false,1,1,3,0
false,1,1,8,1,madrugada,1,2,4.596485,0.077602,0,false,0,0,0,1
false,96,66,2,75,madrugada,104,3613,699.714434,11.81326,4078,true,36,2,14,1
false,1,2,26,2,noite,2,42,8.162202,0.134373,32,false,0,0,0,1
false,2,2,46,2,noite,2,4,13.585792,0.229369,2,false,0,0,0,1
false,1,2,42,2,noite,2,39,8.936499,0.14712,25,false,0,0,0,1
false,1,2,113,2,noite,2,29,9.08571,0.153394,35,false,0,0,0,1
false,1,1,5,1,noite,1,1,4.609609,0.077823,0,false,0,0,0,1
false,1,2,26,0,tarde,6,0,9.871304,0.166654,0,false,2,2,6,0
false,1,1,9,1,manha,1,1,4.609609,0.077823,0,false,0,0,0,0
false,1,1,42,1,noite,1,9,4.43934,0.074947,0,false,0,0,0,1
false,1,1,5,1,noite,1,6,4.787591,0.080827,0,false,0,0,0,1
false,1,2,35,2,noite,2,14,9.198965,0.155302,29,false,0,0,0,1
false,1,1,10,1,noite,1,0,4.669772,0.078837,52,false,0,0,0,1
false,1,2,48,2,manha,2,2,9.274277,0.156573,63,false,0,0,0,1
false,1,9,49,9,madrugada,9,15,40.894487,0.690402,70,false,0,0,0,1
false,1,1,32,1,madrugada,1,23,4.39579,0.074221,0,false,0,0,0,1
