@relation 'candlepin-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R4,24,27,33,50,52,53'

@attribute forward_links {false,true}
@attribute prev_pull_reqs_project numeric
@attribute sloc numeric
@attribute project_age numeric
@attribute prior_interaction_commits numeric
@attribute first_response numeric
@attribute status {0,1}

@data
false,750,38429,873,100,674,1
false,749,39622,873,20,0,0
false,748,38426,868,196,-1,1
false,747,38426,868,133,7022,1
false,746,39528,867,17,0,0
false,745,38417,865,65,829,1
false,744,38417,862,205,8680,1
false,743,38417,861,31,175,1
false,742,38417,861,30,0,1
false,741,38420,861,110,2,1
false,740,38420,861,214,8,1
false,739,38357,860,105,998,1
false,738,38357,860,189,79,1
false,737,38335,859,193,1002,0
false,736,38335,859,1,3,0
false,735,38304,855,196,53,1
false,734,38299,853,1,1,1
false,733,38299,853,30,3115,1
false,731,38261,852,7,3,1
false,730,38261,852,101,1,1
false,728,37848,848,0,0,0
false,727,37848,848,100,4504,1
false,726,37848,848,187,5248,1
false,725,37848,847,100,52,1
false,724,37848,847,96,32,1
false,723,37848,845,197,-1,1
false,722,37848,841,191,3,1
false,721,37848,839,190,1,1
false,720,37845,838,58,2773,1
false,719,37845,838,107,75,1
false,718,37584,827,110,67,1
false,717,37584,827,169,0,1
false,716,37584,826,0,124,1
false,715,37532,824,165,4,1
false,714,37532,823,127,861,1
false,713,37553,820,161,2,1
false,712,37553,820,76,39,1
false,711,37387,819,55,8637,1
false,710,37387,819,72,40,1
false,709,37387,819,153,1,1
false,708,37387,819,0,3,1
false,707,37376,817,155,3,1
false,706,37316,817,97,68,1
false,705,37316,817,70,2,1
false,704,37314,813,96,32,1
false,703,37314,813,53,5957,1
false,702,37314,813,53,-1,0
false,701,37321,812,53,-1,0
false,700,37321,812,64,35,1
false,699,37158,809,147,5,1
false,697,37161,805,179,858,1
false,696,37161,805,58,5451,1
false,695,37165,804,135,1,1
false,694,37165,804,48,2646,1
false,693,37165,804,179,1,1
false,692,37080,803,129,42,1
false,691,37072,802,46,22,1
false,690,37072,802,148,4,1
false,689,37049,799,179,5573,1
false,688,37049,799,46,79,1
false,687,37042,797,147,3,1
false,686,37042,797,145,2,1
false,685,36933,796,143,2,1
false,684,36933,796,43,5,1
false,683,36938,796,135,10296,1
false,682,36938,795,180,1469,1
false,681,36938,795,131,1,1
false,680,36936,795,179,53,1
false,679,36576,791,178,64,1
false,678,36488,791,39,86,1
false,677,36479,791,119,273,1
false,676,36479,790,129,2,1
false,675,36443,790,129,0,1
false,674,36391,790,126,6,0
false,673,36392,788,100,883,1
false,672,36392,788,39,2492,0
false,671,36392,788,146,2917,1
false,670,36392,788,126,1,1
false,669,36392,788,125,1199,1
false,668,36392,785,122,7030,1
false,667,36392,785,120,3396,0
false,666,36403,784,116,224,1
false,665,36403,784,0,0,0
false,664,36403,783,142,6805,1
false,662,36371,782,116,1,1
false,661,36367,782,111,0,0
false,660,36367,781,107,0,1
false,659,36367,781,106,0,1
false,658,36157,781,133,1317,1
false,657,36102,778,29,3989,1
false,656,36102,778,98,1,1
false,655,36084,778,130,101,1
false,654,36084,778,92,3,1
false,653,36084,777,95,997,1
false,652,36084,777,26,62,1
false,651,35946,776,21,-1,1
false,650,35946,776,115,176,1
false,649,35946,775,112,1242,1
false,648,35946,775,22,8,1
false,647,37234,774,95,1218,1
false,646,37061,770,92,3,1
false,645,37061,770,55,9,1
false,643,37061,770,52,131,1
false,642,37061,769,103,7137,1
false,641,37061,769,92,116,1
false,640,35770,768,3,11234,1
false,639,35763,768,86,56,1
false,638,35763,768,96,0,1
false,637,35763,768,96,3,1
false,636,34922,767,91,1305,1
false,635,34915,767,87,0,1
false,634,34915,764,72,71,1
false,633,34915,763,4,3,1
false,632,34912,761,0,1,0
true,631,34912,760,60,3,0
false,630,34929,760,110,23,1
false,629,34923,760,44,2750,1
false,628,34923,760,15,172,1
false,627,34923,755,126,848,1
false,626,34923,755,126,847,1
false,625,34923,755,13,23,1
true,624,34901,754,3,0,0
false,622,34901,754,112,1467,1
false,620,34889,750,0,0,1
false,619,34889,750,12,161,1
false,618,34955,749,121,165,1
false,617,33475,748,40,13,0
false,616,34919,747,66,1001,1
false,615,34919,747,118,4,1
false,614,35004,746,4,2490,1
false,613,35004,746,114,1,1
false,612,35004,746,127,2436,1
false,611,35006,743,55,4589,1
false,610,34966,741,124,1184,1
false,609,34966,741,60,7450,1
false,608,35022,740,11,9,1
false,607,35022,740,25,284,1
false,606,35022,739,57,11292,1
false,605,35022,739,59,448,1
false,604,35022,739,57,-1,0
false,603,35022,739,53,10409,1
false,602,35022,736,53,14,0
false,601,35022,736,50,30,1
false,600,35022,735,32,124,1
false,599,35021,734,51,16,1
false,598,35021,732,1,0,1
false,597,35021,729,144,3942,1
false,595,35016,728,34,3,1
false,594,35016,726,38,1006,1
false,593,35027,726,148,3,1
false,592,35002,725,149,989,1
false,591,34979,725,133,2,1
false,587,34979,715,6,3,1
false,586,34979,713,54,64,1
false,585,34944,711,31,3170,1
false,584,34976,711,174,-1,1
false,583,34976,708,1,0,1
false,582,34976,707,176,4,1
false,581,34667,701,199,1,1
false,580,34631,701,197,210,1
false,579,34631,700,56,1,1
false,578,34629,699,195,0,1
false,577,34629,698,1,0,1
false,575,34629,698,194,4,1
false,573,34625,698,51,35,1
